#nii_code,mext_code,jsps_code,name_ja,name_en,name_yomi
0013902,13902,13902,愛知教育大学,Aichi University of Education,アイチキョウイクダイガク
0011401,11401,11401,秋田大学,Akita University,アキタダイガク
0010107,10107,10107,旭川医科大学,Asahikawa Medical College,アサヒカワイカダイガク
0012101,12101,12101,茨城大学,Ibaraki University,イバラキダイガク
0011201,11201,11201,岩手大学,Iwate University,イワテダイガク
0012201,12201,12201,宇都宮大学,Utsunomiya University,ウツノミヤダイガク
0016301,16301,16301,愛媛大学,Ehime University,エヒメダイガク
0017501,17501,17501,大分大学,Oita University,オオイタダイガク
0014403,14403,14403,大阪教育大学,Osaka Kyoiku University,オオサカキョウイクダイガク
0014401,14401,14401,大阪大学,Osaka University,オオサカダイガク
0015301,15301,15301,岡山大学,Okayama University,オカヤマダイガク
0010104,10104,10104,小樽商科大学,Otaru University of Commerce,オタルショウカダイガク
0012611,12611,12611,お茶の水女子大学,Ochanomizu University,オチャノミズジョシダイガク
0010105,10105,10105,帯広畜産大学,Obihiro University of Agriculture and Veterinary Medicine,オビヒロチクサンダイガク
0016201,16201,16201,香川大学,Kagawa University,カガワダイガク
0017701,17701,17701,鹿児島大学,Kagoshima University,カゴシマダイガク
0013301,13301,13301,金沢大学,Kanazawa University,カナザワダイガク
0017702,17702,17702,鹿屋体育大学,National Institute of Fitness and Sports in Kanoya,カノヤタイクダイガク
0010106,10106,10106,北見工業大学,Kitami Institute of Technology,キタミコウギョウダイガク
0017104,17104,17104,九州工業大学,Kyushu Institute of Technology,キュウシュウコウギョウダイガク
0017102,17102,17102,九州大学,Kyushu University,キュウシュウダイガク
0014302,14302,14302,京都教育大学,Kyoto University of Education,キョウトキョウイクダイガク
0014303,14303,14303,京都工芸繊維大学,Kyoto Institute of Technology,キョウトコウゲイセンイダイガク
0014301,14301,14301,京都大学,Kyoto University,キョウトダイガク
0013701,13701,13701,岐阜大学,Gifu University,ギフダイガク
0017401,17401,17401,熊本大学,Kumamoto University,クマモトダイガク
0012301,12301,12301,群馬大学,Gunma University,グンマダイガク
0016401,16401,16401,高知大学,Kochi University,コウチダイガク
0014501,14501,14501,神戸大学,Kobe University,コウベダイガク
0012401,12401,12401,埼玉大学,Saitama University,サイタマダイガク
0017201,17201,17201,佐賀大学,Saga University,サガダイガク
0014202,14202,14202,滋賀医科大学,Shiga University of Medical Science,シガイカダイガク
0014201,14201,14201,滋賀大学,Shiga University,シガダイガク
0013801,13801,13801,静岡大学,Shizuoka University,シズオカダイガク
0015201,15201,15201,島根大学,Shimane University,シマネダイガク
0013601,13601,13601,信州大学,Shinshu University,シンシュウダイガク
0013103,13103,13103,上越教育大学,Joetsu University of Education,ジョウエツキョウイクダイガク
0012703,12703,12703,政策研究大学院大学,National Graduate Institute for Policy Studies,セイサクケンキュウダイガクインダイガク
0012702,12702,12702,総合研究大学院大学,The Graduate University for Advanced Studies,ソウゴウケンキュウダイガクインダイガク
0012501,12501,12501,千葉大学,Chiba University,チバダイガク
