#nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en
1,A,大区分A,Broad Section A,2,01,中区分1:思想、芸術およびその関連分野,"Medium-sized Section 1:Philosophy, art, and related fields",3,01010,小区分01010:哲学および倫理学関連,Basic Section 01010:Philosophy and ethics-related
1,A,大区分A,Broad Section A,2,01,中区分1:思想、芸術およびその関連分野,"Medium-sized Section 1:Philosophy, art, and related fields",4,01020,小区分01020:中国哲学、印度哲学および仏教学関連,"Basic Section 01020:Chinese philosophy, Indian philosophy and Buddhist philosophy-related"
1,A,大区分A,Broad Section A,2,01,中区分1:思想、芸術およびその関連分野,"Medium-sized Section 1:Philosophy, art, and related fields",5,01030,小区分01030:宗教学関連,Basic Section 01030:Religious studies-related
1,A,大区分A,Broad Section A,2,01,中区分1:思想、芸術およびその関連分野,"Medium-sized Section 1:Philosophy, art, and related fields",6,01040,小区分01040:思想史関連,Basic Section 01040:History of thought-related
1,A,大区分A,Broad Section A,2,01,中区分1:思想、芸術およびその関連分野,"Medium-sized Section 1:Philosophy, art, and related fields",7,01050,小区分01050:美学および芸術論関連,Basic Section 01050:Aesthetics and art studies-related
1,A,大区分A,Broad Section A,2,01,中区分1:思想、芸術およびその関連分野,"Medium-sized Section 1:Philosophy, art, and related fields",8,01060,小区分01060:美術史関連,Basic Section 01060:History of arts-related
1,A,大区分A,Broad Section A,2,01,中区分1:思想、芸術およびその関連分野,"Medium-sized Section 1:Philosophy, art, and related fields",9,01070,小区分01070:芸術実践論関連,Basic Section 01070:Theory of art practice-related
1,A,大区分A,Broad Section A,2,01,中区分1:思想、芸術およびその関連分野,"Medium-sized Section 1:Philosophy, art, and related fields",10,01080,小区分01080:科学社会学および科学技術史関連,"Basic Section 01080:Sociology of science, history of science and technology-related"
1,A,大区分A,Broad Section A,2,01,中区分1:思想、芸術およびその関連分野,"Medium-sized Section 1:Philosophy, art, and related fields",11,90010,小区分90010:デザイン学関連,Basic Section 90010:Design-related
1,A,大区分A,Broad Section A,12,02,中区分2:文学、言語学およびその関連分野,"Medium-sized Section 2:Literature, linguistics, and related fields",13,02010,小区分02010:日本文学関連,Basic Section 02010:Japanese literature-related
1,A,大区分A,Broad Section A,12,02,中区分2:文学、言語学およびその関連分野,"Medium-sized Section 2:Literature, linguistics, and related fields",14,02020,小区分02020:中国文学関連,Basic Section 02020:Chinese literature-related
1,A,大区分A,Broad Section A,12,02,中区分2:文学、言語学およびその関連分野,"Medium-sized Section 2:Literature, linguistics, and related fields",15,02030,小区分02030:英文学および英語圏文学関連,Basic Section 02030:English literature and literature in the English language-related
1,A,大区分A,Broad Section A,12,02,中区分2:文学、言語学およびその関連分野,"Medium-sized Section 2:Literature, linguistics, and related fields",16,02040,小区分02040:ヨーロッパ文学関連,Basic Section 02040:European literature-related
1,A,大区分A,Broad Section A,12,02,中区分2:文学、言語学およびその関連分野,"Medium-sized Section 2:Literature, linguistics, and related fields",17,02050,小区分02050:文学一般関連,Basic Section 02050:Literature in general-related
