Rank	Organism	Nucleotides	Entries
1	human gut metagenome	470513094930	247421918
2	Homo sapiens	331449109608	35270191
3	marine metagenome	158826306021	150126175
4	Triticum aestivum	87673883154	31299283
5	metagenome	74849949922	100891358
6	Mus musculus	55144452784	13650337
7	Escherichia coli	49635883982	2157747
8	human metagenome	48660555980	61008751
9	soil metagenome	45126472923	115785072
10	Picea glauca	43369240198	12951014
11	Sus scrofa	40048744232	4920112
12	Ambystoma mexicanum	33810054443	2526626
13	gut metagenome	28590602649	34459044
14	Triticum dicoccoides	27684207216	8120953
15	Pinus lambertiana	27641076351	4289517
16	Pinus taeda	22367358378	2210403
17	Pseudomonas aeruginosa	18880995386	548638
18	Klebsiella pneumoniae	18829274762	606239
19	Mycobacterium tuberculosis	17924042307	647575
20	Streptococcus pneumoniae	17251821191	858824
21	Nicotiana tabacum	17065450599	5139616
22	Staphylococcus aureus	15283254469	742292
23	Hordeum vulgare subsp. vulgare	14920559081	16339294
24	Pseudotsuga menziesii	14838031563	1422991
25	Bubalus bubalis	14087211761	3767172
26	Solanum verrucosum	13577294868	2251432
27	Zea mays subsp. mays	13521345935	627573
28	Bos taurus	13303426497	3977987
29	Rattus norvegicus	12452975399	3425438
30	seawater metagenome	12288388308	8914048
31	Picea abies	11972390155	11358181
32	Tursiops truncatus	11692370631	666623
33	Hordeum vulgare	11261238486	4912532
34	Callithrix jacchus	10564669346	3002686
35	Salmonella enterica subsp. enterica serovar Typhi	10504159306	117566
36	Macaca mulatta	10183982050	1861604
37	Pan troglodytes	10007047074	776443
38	Zea mays	9829270980	4552122
39	Capsicum annuum	9449199187	643045
40	mouse gut metagenome	9150052880	4178989
41	Cricetulus griseus	9106036219	981894
42	sediment metagenome	9099780758	9825247
43	Macaca fascicularis	8843306226	1430326
44	Listeria monocytogenes	8608303874	123067
45	Acinetobacter baumannii	8446980114	395041
46	Triticum urartu	7986284353	1554573
47	Danio rerio	7927862434	2407321
48	Lactuca sativa	7826995427	1323659
49	Saccharomyces cerevisiae	7663794830	554595
50	Equus caballus	7634166998	643328
51	uncultured bacterium	7567611766	18093808
52	Salmonella enterica	7524004847	418367
53	groundwater metagenome	7383449096	8077634
54	Magnaporthe oryzae	7342340525	662541
55	Ovis aries	7332863664	3354145
56	human oral metagenome	7192254424	6734447
57	Canis lupus familiaris	7144309092	2806205
58	Acinonyx jubatus	7142583316	21123
59	Rana catesbeiana	7116280265	3679126
60	Capra hircus	7084602761	1660175
61	Phascolarctos cinereus	6799863127	798849
62	Castor canadensis	6713087248	660340
63	Camelus dromedarius	6567747203	956099
64	Alligator mississippiensis	6490071205	80375
65	Pongo abelii	6423419594	473293
66	Anolis carolinensis	6414882655	8740888
67	Sarcophilus harrisii	6126424912	896587
68	Gorilla gorilla gorilla	6074820448	187588
69	Locusta migratoria	5810447168	1471982
70	Eschrichtius robustus	5772702658	1270575
71	marine sediment metagenome	5744298001	3688115
72	coral metagenome	5729286454	5339080
73	Hevea brasiliensis	5659108431	2498525
74	Aedes albopictus	5548990497	3880058
75	Arachis hypogaea	5486307192	599907
76	Bos indicus	5480570184	665413
77	Ixodes scapularis	5382527317	1864063
78	Nephila clavipes	5362963206	4963232
79	Oncorhynchus tshawytscha	5359603368	991592
80	Oryza sativa Indica Group	5355468238	1001566
81	Bos indicus x Bos taurus	5254321391	6248
82	Acanthoscurria geniculata	5187236723	12587827
83	Aegilops tauschii	5160343564	689000
84	Capra aegagrus	5049767491	473092
85	Glycine max	5012356715	2290171
86	Shigella sonnei	4979649166	420517
87	Bacillus cereus	4977508635	199440
88	Chinchilla lanigera	4976631225	2489033
89	Latimeria chalumnae	4958252886	976599
90	Pisum sativum	4908916611	6171256
91	Salmo salar	4872829118	2407272
92	Clostridioides difficile	4870198032	686668
93	Bos mutus	4815212581	233308
94	Gavialis gangeticus	4781113611	299273
95	Heterocephalus glaber	4769611298	396636
96	Oryctolagus cuniculus	4744727933	2330286
97	Lycaon pictus	4714947876	1731
98	Physeter catodon	4704895652	216412
99	Mustela putorius furo	4700249242	321863
100	Aedes aegypti	4688751812	1117303
